id,question_id,option_key,content,sort_order,created_at,updated_at,raw_text
013f2398-5110-402f-9f55-7624d4e6c6e6,261d989f-f38f-48f2-afda-7b48b43c8b47,d,"[{""html"":""<p>20 N</p>"",""type"":""text""}]",4,2026-09-01 11:04:13.85918+00,2026-09-01 11:04:13.85918+00,<p>20 N</p>
015081e0-7f4b-4810-ba20-0c260e384c69,e0bf731f-9857-41dc-a85e-4a317cebae17,a,"[{""html"":""<p>It is a lateral, generally flattened structure borne on the stem.</p>"",""type"":""text""}]",1,2026-09-03 07:08:18.256493+00,2026-09-03 07:08:18.256493+00,"<p>It is a lateral, generally flattened structure borne on the stem.</p>"
0186e137-9219-4e17-b2a6-472886572dad,a0f3324f-8bc9-4637-88ed-a136efe21901,d,"[{""html"":""<p>20 volumes of ammonia gives 10 volumes of N₂ and 30 volumes of H₂ at constant temperature and pressure.</p>"",""type"":""text""}]",4,2026-08-31 06:21:30.437956+00,2026-08-31 06:21:30.437956+00,<p>20 volumes of ammonia gives 10 volumes of N₂ and 30 volumes of H₂ at constant temperature and pressure.</p>
018a56a9-6bab-4e25-9d71-0dd6c2845107,a3edac86-34c1-4947-a0aa-17e1f85bcf7b,d,"[{""html"":""<p>Assertion is false but reason is true.</p>"",""type"":""text""}]",4,2026-09-02 08:10:40.33299+00,2026-09-02 08:10:40.33299+00,<p>Assertion is false but reason is true.</p>
01aadcd0-6ffc-4562-8fbd-396a5e9c0166,d9d6e2b0-3ce0-40d2-9eb3-e4cd409d7bd1,d,"[{""html"":""<p>The orbitals with different energies undergo hybridisation.</p>"",""type"":""text""}]",4,2026-09-03 07:24:52.221588+00,2026-09-03 07:24:52.221588+00,<p>The orbitals with different energies undergo hybridisation.</p>
01ba02f1-cc53-4b06-abf8-6340be91a607,b82c05e0-01e6-4c50-8236-6d3c2e0055da,c,"[{""html"":""<p>Five</p>"",""type"":""text""}]",3,2026-09-02 08:34:38.485829+00,2026-09-02 08:34:38.485829+00,<p>Five</p>
01f40f8a-98c5-490a-bcb0-fe4328cb5e70,dd91e440-6a87-4813-9ce2-92e69b8e2f77,b,"[{""html"":""<p>Asexual reproduction is by biflagellate pear-shaped zoospores</p>"",""type"":""text""}]",2,2026-08-31 08:25:40.798232+00,2026-08-31 08:25:40.798232+00,<p>Asexual reproduction is by biflagellate pear-shaped zoospores</p>
02194e24-871b-4797-aeca-77b219ba1de6,ac6365b2-4afa-4f75-bf67-ff6e98d34a2b,c,"[{""html"":""<p>HI</p>"",""type"":""text""}]",3,2026-09-03 08:36:31.178455+00,2026-09-03 08:36:31.178455+00,<p>HI</p>
021dbabf-2734-42de-9a71-045a0abde26f,db00423c-00a8-45de-b0a7-1234df3860fa,c,"[{""html"":""<p>2 × 10²³</p>"",""type"":""text""}]",3,2026-08-31 06:47:50.91453+00,2026-08-31 06:47:50.91453+00,<p>2 × 10²³</p>
026686e4-074b-4564-bcd4-a0186eb0bf86,9dc2838d-c369-49d4-b77a-3543701f69fe,c,"[{""html"":""\\( 12 \\)"",""type"":""text""}]",3,2026-09-03 08:54:02.336419+00,2026-09-03 08:54:02.336419+00,\( 12 \)
02fa0a21-1549-4c2e-acbb-4431b6171c36,4cfb9f5d-fd5f-4d38-b646-c88bc4e9527d,c,"[{""html"":""<p>I, II and IV only</p>"",""type"":""text""}]",3,2026-08-31 06:18:08.954171+00,2026-08-31 06:18:08.954171+00,"<p>I, II and IV only</p>"
03061cef-5f20-4d16-914c-1c2ddd503799,2344231c-89bb-44cd-be2c-684d51354de7,c,"[{""html"":""<p>631.83</p>"",""type"":""text""}]",3,2026-08-31 07:32:36.498139+00,2026-08-31 07:32:36.498139+00,<p>631.83</p>
031d78bc-27a0-49db-9602-b635e65180aa,0f8558df-268b-4266-abcf-578f8d4e38bb,d,"[{""html"":""<p>Molecular orbitals like atomic orbitals obey Aufbau principle for filling of electrons.</p>"",""type"":""text""}]",4,2026-09-01 11:50:10.905153+00,2026-09-01 11:50:10.905153+00,<p>Molecular orbitals like atomic orbitals obey Aufbau principle for filling of electrons.</p>
032b604d-5561-4095-80ad-593db7268c5b,a77f16f9-1a11-41d7-98f8-2c12c00f6329,b,"[{""html"":""<p>Bond pair – bond pair &gt; lone pair – lone pair &gt; lone pair – bond pair</p>"",""type"":""text""}]",2,2026-09-03 06:54:43.078336+00,2026-09-03 06:54:43.078336+00,<p>Bond pair – bond pair &gt; lone pair – lone pair &gt; lone pair – bond pair</p>
033b4292-1272-4263-848f-129925643b14,22b960ea-4c93-4b4d-b14d-b09169a3e323,b,"[{""html"":""<p>4</p>"",""type"":""text""}]",2,2026-09-03 07:54:12.233896+00,2026-09-03 07:54:12.233896+00,<p>4</p>
0342e322-2468-49bf-9143-ad391fb33370,2e065581-c764-4595-8973-bfced5f6466e,d,"[{""html"":""<p>1960</p>"",""type"":""text""}]",4,2026-09-03 06:39:30.081913+00,2026-09-03 06:39:30.081913+00,<p>1960</p>
0353d884-f2f1-4040-841d-aaba725beabc,eb564c39-52b6-4dcf-a988-20b62574fa4a,d,"[{""html"":""<p>ΔU = 0, q = 0, W = −5227 J</p>"",""type"":""text""}]",4,2026-08-31 07:24:24.257615+00,2026-08-31 07:24:24.257615+00,"<p>ΔU = 0, q = 0, W = −5227 J</p>"
03858852-0093-4773-a00a-c7cb10f8ce77,af6b6078-9d41-4c16-b0e7-fc6d00b689b5,b,"[{""html"":""<p> \\( \\ 5\\times10^5\\ \\mathrm{N} \\) </p>"",""type"":""text""}]",2,2026-09-02 12:14:19.483281+00,2026-09-02 12:14:19.483281+00,<p> \( \ 5\times10^5\ \mathrm{N} \) </p>
03e812fa-a0eb-46a6-bfb0-5cc50e1eaa1d,8ddefb2b-0c20-421e-bf62-85d33e04e4b3,d,"[{""html"":""<p>Reduce speed</p>"",""type"":""text""}]",4,2026-09-03 07:04:15.308134+00,2026-09-03 07:04:15.308134+00,<p>Reduce speed</p>
04096d23-de94-4af1-9793-77852f859703,3feb7e7c-0f26-4fe2-9a00-26d1a1075cda,c,"[{""html"":""<ol start=\""100\"" type=\""I\""><li><p>( c ) and (D)</p></li></ol><p></p>"",""type"":""text""}]",3,2026-09-03 07:23:00.301081+00,2026-09-03 07:23:00.301081+00,"<ol start=""100"" type=""I""><li><p>( c ) and (D)</p></li></ol><p></p>"
0412020b-52a0-4100-a57d-5fbd3929ad74,3a3de7a5-272c-47e5-98d8-679e2658bf70,c,"[{""html"":""<p>H₂S, SO₂</p>"",""type"":""text""}]",3,2026-08-31 06:22:56.231432+00,2026-08-31 06:22:56.231432+00,"<p>H₂S, SO₂</p>"
04145b5a-69c3-4835-9f99-a636cf196ecd,ef16e6a6-275f-4de9-adcf-3a6891628e68,b,"[{""html"":""<p>1960</p>"",""type"":""text""}]",2,2026-09-02 05:59:55.947684+00,2026-09-02 05:59:55.947684+00,<p>1960</p>
04279ca8-3113-4470-89a4-c2ce1dba04ee,72a3c012-583c-4c5b-b498-810bb3e042d3,d,"[{""html"":""<p>Being meristematic</p>"",""type"":""text""}]",4,2026-09-02 10:20:38.35445+00,2026-09-02 10:20:38.35445+00,<p>Being meristematic</p>
04344511-9727-4c59-838b-bb4998d3f349,974ffd69-68a2-4223-83a2-f507ccb2b92a,a,"[{""html"":""<p>Chlorella</p>"",""type"":""text""}]",1,2026-08-31 07:45:40.508741+00,2026-08-31 07:45:40.508741+00,<p>Chlorella</p>
0460ce02-aa45-427d-ad83-923c447e52a0,8da4ad68-76da-4799-aadc-909a8abeff25,d,"[{""html"":""<p>32 N</p>"",""type"":""text""}]",4,2026-09-01 07:48:57.710253+00,2026-09-01 07:48:57.710253+00,<p>32 N</p>
0464975a-3da5-4dc8-9ae8-0d4869a37c30,ee6dbea2-58a6-4504-9887-30a0fdfcec17,b,"[{""html"":""<p>Unable to change the state of uniform motion by itself.</p>"",""type"":""text""}]",2,2026-09-02 12:07:34.955569+00,2026-09-02 12:07:34.955569+00,<p>Unable to change the state of uniform motion by itself.</p>
0477aa03-f511-415e-81a2-9aa1e4ae47e5,d077d86c-e3ae-4b81-9760-5c2e8c3fb6db,a,"[{""html"":""<p>Velocity</p>"",""type"":""text""}]",1,2026-09-03 06:58:08.833635+00,2026-09-03 06:58:08.833635+00,<p>Velocity</p>
04ce4065-695b-4072-b8a0-135d7d2362b9,07b93d52-59a3-4719-aa56-8f7a8b85b8b4,c,"[{""html"":""<p>Aristotle</p>"",""type"":""text""}]",3,2026-09-02 11:46:57.573664+00,2026-09-02 11:46:57.573664+00,<p>Aristotle</p>
04d87045-fb2a-4e12-90ad-f94982fd9a84,17d1d766-70d6-4d51-90e1-595b8ad78150,d,"[{""html"":""<p>Zero</p>"",""type"":""text""}]",4,2026-08-31 07:03:05.960357+00,2026-08-31 07:03:05.960357+00,<p>Zero</p>
04d945a0-e3cb-408d-bcfa-aab1163c1666,34b275f2-6ea9-4db3-9182-53746fc4f8f5,b,"[{""html"":""<p>Sunn hemp</p>"",""type"":""text""}]",2,2026-09-02 11:12:52.719311+00,2026-09-02 11:12:52.719311+00,<p>Sunn hemp</p>
04dafd05-b519-4ab7-a884-4caf874cfc27,e13d4ed2-7405-45bd-ac08-683bd1268abf,d,"[{""html"":""<p>system changes into surroundings spontaneously</p>"",""type"":""text""}]",4,2026-08-31 07:16:10.008928+00,2026-08-31 07:16:10.008928+00,<p>system changes into surroundings spontaneously</p>
04e5b7f2-2e2d-4858-98ff-e16ba35cb7d2,8f7402c4-b51f-4aca-a36d-229ad0a7c3fc,c,"[{""html"":""<p> \\( -1/2, 1/2 \\text{ and } 3/2 \\) </p>"",""type"":""text""}]",3,2026-08-31 08:36:34.179306+00,2026-08-31 08:36:34.179306+00,"<p> \( -1/2, 1/2 \text{ and } 3/2 \) </p>"
051052e5-9aa3-42d0-b8ef-d04423f5788a,e9d27bdd-b641-4f69-a0d4-800f738c2a38,d,"[{""html"":""<p>pascal</p>"",""type"":""text""}]",4,2026-08-31 06:34:54.592018+00,2026-08-31 06:34:54.592018+00,<p>pascal</p>
05710d2a-094f-4699-a2e0-afd765821ae5,2f34267b-87be-4b1e-a4f4-78158dc0d55b,c,"[{""html"":""\\( 2\\,\\text{m s}^{-2}; \\tan^{-1}(3/4)\\ with\\ 8\\,\\text{N}\\ \\text{force} \\)"",""type"":""text""}]",3,2026-09-03 08:34:44.073861+00,2026-09-03 08:34:44.073861+00,"\( 2\,\text{m s}^{-2}; \tan^{-1}(3/4)\ with\ 8\,\text{N}\ \text{force} \)"
05766b09-8ff8-43ad-8bae-517af435344b,b5afe0a3-8da4-40e2-a62e-da45a245fe9b,d,"[{""html"":""<p>35.6</p>"",""type"":""text""}]",4,2026-08-31 08:02:31.942696+00,2026-08-31 08:02:31.942696+00,<p>35.6</p>
05afd618-b82b-4990-aa31-32dd8d3b0fe8,c8784c9e-5265-4fc3-a7cf-d7ea68986b62,b,"[{""html"":""<p>HCl</p>"",""type"":""text""}]",2,2026-09-03 07:54:37.415109+00,2026-09-03 07:54:37.415109+00,<p>HCl</p>
05c84885-e1e5-4cab-91b4-368e1eb6e67c,739eeee0-0b40-4eb0-b882-e28e1227c514,b,"[{""html"":""F. Wohler"",""type"":""text""}]",2,2026-09-03 10:28:20.484416+00,2026-09-03 10:28:20.484416+00,F. Wohler
05d93d26-aada-41ee-b969-c77065b9d8f2,5514a372-9977-4cde-b51d-6d5f23892c29,d,"[{""html"":""<p>35.03 V</p>"",""type"":""text""}]",4,2026-08-31 07:37:21.334387+00,2026-08-31 07:37:21.334387+00,<p>35.03 V</p>
06773332-d475-4a86-a8cf-f321ebb08e58,f89cef58-93fc-44cf-8dd3-4bb0dbca7832,c,"[{""html"":""<p>[BCl₃] and BrCl₃</p>"",""type"":""text""}]",3,2026-09-03 08:41:34.872882+00,2026-09-03 08:41:34.872882+00,<p>[BCl₃] and BrCl₃</p>
06904327-e111-456e-bd64-0651480d58f6,bbc0dd52-4211-4521-a47b-e55ada52a145,c,"[{""html"":""<p>Synthetic system</p>"",""type"":""text""}]",3,2026-08-31 06:15:21.804088+00,2026-08-31 06:15:21.804088+00,<p>Synthetic system</p>
06a63a27-478a-43aa-8c22-33588d95b3c1,3bda23bf-9036-4946-b8be-7fe5b719474a,a,"[{""html"":""<p>Law of multiple proportions</p>"",""type"":""text""}]",1,2026-08-31 09:17:29.984645+00,2026-08-31 09:17:29.984645+00,<p>Law of multiple proportions</p>
06ce363c-02e3-4ba6-821e-b2762f20769c,c21f1931-5975-4312-9764-94b4c43b1f87,c,"[{""html"":""<p>It is a modified adventitious root that stores reserve food material.</p>"",""type"":""text""}]",3,2026-09-03 07:28:31.025372+00,2026-09-03 07:28:31.025372+00,<p>It is a modified adventitious root that stores reserve food material.</p>
06ea43f5-ff7d-4813-9e66-db7882e0e654,3bda23bf-9036-4946-b8be-7fe5b719474a,d,"[{""html"":""<p>Avogadro's law</p>"",""type"":""text""}]",4,2026-08-31 09:17:29.984645+00,2026-08-31 09:17:29.984645+00,<p>Avogadro's law</p>
073ff24c-372c-4d93-8f65-8c4943ca0fd7,c18eb65c-1de5-47ae-87d6-61b21b59baeb,b,"[{""html"":""<p>Three orbitals with trigonal orientation</p>"",""type"":""text""}]",2,2026-09-03 07:27:24.783682+00,2026-09-03 07:27:24.783682+00,<p>Three orbitals with trigonal orientation</p>
07406190-dbb3-4453-a65f-05a02d65f54a,7a9d880e-23b4-48cb-af59-36c48d9e9dd6,b,"[{""html"":""<p>testa of seeds to enable emergence of growing embryonic axis during seed germination</p>"",""type"":""text""}]",2,2026-09-02 08:41:28.631324+00,2026-09-02 08:41:28.631324+00,<p>testa of seeds to enable emergence of growing embryonic axis during seed germination</p>
0748999c-713f-48b3-b4c4-4abfad460315,f97d3b6b-b203-4400-a135-d75ee6c89b3e,a,"[{""html"":""<p>Isogamous</p>"",""type"":""text""}]",1,2026-08-31 07:08:41.792833+00,2026-08-31 07:08:41.792833+00,<p>Isogamous</p>
078372a7-c601-430e-a0a8-2a6b7edf40e6,05ba9917-b29c-4d6a-b752-50f5085875c1,d,"[{""html"":""<p>The power of 10 is counted while counting the number of significant figures.</p>"",""type"":""text""}]",4,2026-08-31 07:01:04.137842+00,2026-08-31 07:01:04.137842+00,<p>The power of 10 is counted while counting the number of significant figures.</p>
07a68b31-48be-47e2-84e8-e0e8a9146385,08507288-0040-43b2-8939-a673e86def48,b,"[{""html"":""<p>Displacement of electrons towards hydrogen atom resulting in a polar molecule.</p>"",""type"":""text""}]",2,2026-09-03 07:50:57.749943+00,2026-09-03 07:50:57.749943+00,<p>Displacement of electrons towards hydrogen atom resulting in a polar molecule.</p>
07b2dbc0-c60e-438a-8adc-c483fc43f081,02cad7bc-8bc8-470f-93ee-5ab9bc7fd21b,b,"[{""html"":""<p>Under similar conditions of temperature and pressure, equal volumes of all gases contain same number of molecules.</p>"",""type"":""text""}]",2,2026-08-31 06:28:14.464453+00,2026-08-31 06:28:14.464453+00,"<p>Under similar conditions of temperature and pressure, equal volumes of all gases contain same number of molecules.</p>"
07b3760e-b8c3-4356-beae-ca988d0da5e3,aa9e803d-ca83-4585-8c4c-5a83bee88fb5,c,"[{""html"":""<p> \\( C_{1+2+3} \\) </p>"",""type"":""text""}]",3,2026-09-02 09:52:26.97592+00,2026-09-02 09:52:26.97592+00,<p> \( C_{1+2+3} \) </p>
07ba145a-5f94-47f4-968d-6f76bac38a87,1c130555-4c45-4a58-bb27-b215479031f0,d,"[{""html"":""Assertion is false but reason is true."",""type"":""text""}]",4,2026-09-03 08:39:51.927818+00,2026-09-03 08:39:51.927818+00,Assertion is false but reason is true.
07f20f09-731a-472a-9683-d30ac5741f19,684c8ff4-541c-4dfd-8e43-4f1fe52077c0,a,"[{""html"":""<p>Radicle, plumule</p>"",""type"":""text""}]",1,2026-09-02 08:30:22.060798+00,2026-09-02 08:30:22.060798+00,"<p>Radicle, plumule</p>"
0806800f-6819-46ed-8e30-e3df448b737a,242fded6-2d6f-4489-9595-e4ee8672d2b4,c,"[{""html"":""<p>Ammonium sulphate</p>"",""type"":""text""}]",3,2026-08-31 07:56:38.379661+00,2026-08-31 07:56:38.379661+00,<p>Ammonium sulphate</p>
080b238c-3da2-4632-9290-dead7f1f7712,44988893-ee59-4301-8c01-83cec1104802,b,"[{""html"":""<p>Leguminosae</p>"",""type"":""text""}]",2,2026-09-02 10:03:25.098001+00,2026-09-02 10:03:25.098001+00,<p>Leguminosae</p>
08259ec6-2e9b-4e39-99d0-10907ec6b1b4,4ff01949-daa1-4e7c-a404-a35d8baa30b2,b,"[{""html"":""<p>Both (I) and (ii)</p>"",""type"":""text""}]",2,2026-09-03 08:07:39.823263+00,2026-09-03 08:07:39.823263+00,<p>Both (I) and (ii)</p>
083b935c-18fb-431e-b490-1067854e728a,78541c0d-a78a-4536-b9fd-bfb782a09a86,c,"[{""html"":""<p>21%</p>"",""type"":""text""}]",3,2026-08-31 08:00:08.047086+00,2026-08-31 08:00:08.047086+00,<p>21%</p>
085769f0-8220-4493-b7a3-d0c3af8e710b,81cff02d-c5ef-47c9-9bc5-6054d2d234e0,c,"[{""html"":""<p>6 s</p>"",""type"":""text""}]",3,2026-09-03 04:48:21.470801+00,2026-09-03 04:48:21.470801+00,<p>6 s</p>
085c87cc-2001-4c3f-8e04-5ce269ec5761,fd4be29b-537b-4fd8-8de1-8beaea37e7b6,c,"[{""html"":""<p>A. Marginal  B.  Axile   C. Parietal   D. Free central   E. Basal</p>"",""type"":""text""}]",3,2026-09-02 09:52:48.545772+00,2026-09-02 09:52:48.545772+00,<p>A. Marginal  B.  Axile   C. Parietal   D. Free central   E. Basal</p>
090af766-3abe-4976-bce7-4daa4f4693df,b4a5d365-4a29-4bc7-ba84-2b2ca14d1b77,a,"[{""html"":""<p>4 m s<sup>-2</sup></p>"",""type"":""text""}]",1,2026-09-01 11:34:47.5548+00,2026-09-01 11:34:47.5548+00,<p>4 m s<sup>-2</sup></p>
091353af-2e7b-4de0-9462-9b89312bac9a,db7ee58c-3b30-44a7-97d0-c6fd56b46654,a,"[{""html"":""<p>Mesarch</p>"",""type"":""text""}]",1,2026-09-02 08:26:31.174978+00,2026-09-02 08:26:31.174978+00,<p>Mesarch</p>
092bf6d2-8a2f-4591-b501-bab3048a3c11,113d722b-06fc-4953-a1a7-36eb4b6cd01c,d,"[{""html"":""<p>The bond length of all P—Cl bonds is same.</p>"",""type"":""text""}]",4,2026-09-01 11:41:31.151263+00,2026-09-01 11:41:31.151263+00,<p>The bond length of all P—Cl bonds is same.</p>
093ee338-3ad0-415d-8cd5-6530bafbc7b5,458623ac-845c-46c0-aeda-619d98392acd,c,"[{""html"":""<p>S, P, h</p>"",""type"":""text""}]",3,2026-08-31 06:42:06.892138+00,2026-08-31 06:42:06.892138+00,"<p>S, P, h</p>"
093f7971-c937-48bc-b858-d03934a8e263,b44eccba-153c-404d-b5cf-9746567a678a,b,"[{""html"":""<p>perigynous</p>"",""type"":""text""}]",2,2026-09-02 07:02:45.726961+00,2026-09-02 07:02:45.726961+00,<p>perigynous</p>
09595264-95c6-4f8f-a797-45d0e48ff431,803f3a98-2496-4202-807f-4b2c9e1caf31,a,"[{""html"":""<p>Mustard</p>"",""type"":""text""}]",1,2026-09-03 06:48:27.871449+00,2026-09-03 06:48:27.871449+00,<p>Mustard</p>
09768662-73ae-4448-816a-cb67af8cd69b,3c144bde-c530-4dc4-ab53-15a688434a23,a,"[{""html"":""<p>H₂</p>"",""type"":""text""}]",1,2026-09-03 07:37:08.233482+00,2026-09-03 07:37:08.233482+00,<p>H₂</p>
099b2444-53e2-4cd2-b52e-48d4b558ca41,b2080d38-d715-4aba-a925-1001669ce1c4,b,"[{""html"":""<p> \\( \\ 2mV \\) </p>"",""type"":""text""}]",2,2026-09-02 12:04:19.727322+00,2026-09-02 12:04:19.727322+00,<p> \( \ 2mV \) </p>
09ab05f0-b4e6-4c00-8498-8483b0e8a8fd,61c6b067-a95c-41fd-9780-c0e4c5466f38,b,"[{""html"":""<p>Sp³d-hybridised</p>"",""type"":""text""}]",2,2026-09-03 07:28:11.263912+00,2026-09-03 07:28:11.263912+00,<p>Sp³d-hybridised</p>
09c3ab0f-7756-4389-b917-ec74663758d5,71badd92-3a54-4670-ae9e-77d77fbf87e0,d,"[{""html"":""<p>(iv) and (v)</p>"",""type"":""text""}]",4,2026-08-31 07:41:40.290306+00,2026-08-31 07:41:40.290306+00,<p>(iv) and (v)</p>
0a089ab0-ed61-439f-a2ce-20d29aaae3f0,73482566-baf0-4951-bba2-51ce099e219d,a,"[{""html"":""<p>25 N</p>"",""type"":""text""}]",1,2026-09-01 12:02:45.494707+00,2026-09-01 12:02:45.494707+00,<p>25 N</p>
0a0da841-dce9-4866-b86e-288a0cf8b5e0,cab1eb1c-5d84-4ace-bcd5-ef580275ebab,d,"[{""html"":""<p>All have trigonal pyramidal shape.</p>"",""type"":""text""}]",4,2026-09-03 07:09:38.743567+00,2026-09-03 07:09:38.743567+00,<p>All have trigonal pyramidal shape.</p>
0a20b871-b1f9-4314-9470-227634591afe,3a3f7c3d-3a12-4799-a591-a6747f345532,a,"[{""html"":""<p>An external force is necessary to keep a body in uniform motion.</p>"",""type"":""text""}]",1,2026-09-02 11:44:31.641236+00,2026-09-02 11:44:31.641236+00,<p>An external force is necessary to keep a body in uniform motion.</p>
0a21d8f3-5a1d-493f-8939-6346c5d9d23a,c7567e0d-3354-4db4-8a3e-854521e0e857,a,"[{""html"":""<p>CO₂</p>"",""type"":""text""}]",1,2026-08-31 06:45:32.323905+00,2026-08-31 06:45:32.323905+00,<p>CO₂</p>
0a232071-429c-44c8-9a6d-d6dd505fd7a5,910d1b87-31e9-4099-a460-8d1fc7d5cda4,d,"[{""html"":""<p>2.2 g</p>"",""type"":""text""}]",4,2026-08-31 08:03:02.534239+00,2026-08-31 08:03:02.534239+00,<p>2.2 g</p>
0a5f74f5-25d5-45ae-81d7-438ada55f35a,4c8316e7-d5b2-46e3-8583-918305086841,d,"[{""html"":""<p>Cortical cells</p>"",""type"":""text""}]",4,2026-09-02 08:35:49.190947+00,2026-09-02 08:35:49.190947+00,<p>Cortical cells</p>
0a704e6a-da34-4f78-b8ba-8806301d6c72,4e145425-fc88-49d8-8d5d-1c1ae60890de,d,"[{""html"":""<p> \\( [MLT^1] \\) </p>"",""type"":""text""}]",4,2026-08-31 07:14:31.788499+00,2026-08-31 07:14:31.788499+00,<p> \( [MLT^1] \) </p>
0a8309cf-0ebe-4455-bb71-c6d7959955d4,7ae481bb-f618-475e-8f1f-1a14791a1ab4,d,"[{""html"":""<p>(I) and (iv)</p>"",""type"":""text""}]",4,2026-09-03 07:38:41.625063+00,2026-09-03 07:38:41.625063+00,<p>(I) and (iv)</p>
0aebc6f7-3dee-4bf4-8491-5a67fa414eff,94bd70af-7c3c-47ff-af6b-36cb0704d48c,a,"[{""html"":""<p>it is displaced parallel to itself.</p>"",""type"":""text""}]",1,2026-08-31 09:15:54.296977+00,2026-08-31 09:15:54.296977+00,<p>it is displaced parallel to itself.</p>
0b08b5cd-6d04-47d3-b4de-6411e5779a4b,5d4c3181-584e-466c-8966-9a1c56cdaba1,b,"[{""html"":""<p>Length<br><br></p>"",""type"":""text""}]",2,2026-08-31 06:12:08.044598+00,2026-08-31 06:12:08.044598+00,<p>Length<br><br></p>
0b6f0064-f183-4eac-ba22-5059174b87dc,b8ed14ce-678b-4a97-bfce-4bbc7035207d,c,"[{""html"":""<p>It is based on the chemical constituents of plants.</p>"",""type"":""text""}]",3,2026-08-31 06:47:42.36579+00,2026-08-31 06:47:42.36579+00,<p>It is based on the chemical constituents of plants.</p>
0be872eb-41a5-4471-8f50-38252c102a7c,aba699cd-efa5-4d23-a20d-f9c6425c514c,d,"[{""html"":""<p>Both assertion and reason are false.</p>"",""type"":""text""}]",4,2026-09-03 08:30:44.799978+00,2026-09-03 08:30:44.799978+00,<p>Both assertion and reason are false.</p>
0c20a8dd-52e2-41d6-ac8c-16e65617e22c,5fb1bb1d-02aa-41f0-916d-5eacf24b9f88,c,"[{""html"":""<p>physiological and reproductive characters</p>"",""type"":""text""}]",3,2026-09-02 06:21:25.14093+00,2026-09-02 06:21:25.14093+00,<p>physiological and reproductive characters</p>
0c54d484-8fc4-4f7f-9a1f-5588c05cf6cc,713ea778-5193-4a0e-b56f-b1256453ae9e,a,"[{""html"":""<p>never has a unit</p>"",""type"":""text""}]",1,2026-08-31 06:18:21.898536+00,2026-08-31 06:18:21.898536+00,<p>never has a unit</p>
0c634bb0-a6d5-4783-98ba-e57b3ba5c659,1b07ee93-dae4-4622-90ad-d167b3a25676,d,"[{""html"":""<p>2NO₂(g) → N₂O₄(g)</p>"",""type"":""text""}]",4,2026-08-31 07:30:24.581666+00,2026-08-31 07:30:24.581666+00,<p>2NO₂(g) → N₂O₄(g)</p>
