id,question_id,option_key,content,raw_text,sort_order
9eb86975-be1a-4801-ad01-813bdb15b066,55819564-339a-4232-ac49-7003e24ed0ca,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{A} = \\vec{A} \\cdot |\\vec{A}|\\)</p>""}]",\(\hat{A} = \vec{A} \cdot |\vec{A}|\),2
97175699-ea20-4b83-b6d9-745f016a29f0,55819564-339a-4232-ac49-7003e24ed0ca,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{A} = \\frac{|\\vec{A}|}{\\vec{A}}\\) </p>""}]",\(\hat{A} = \frac{|\vec{A}|}{\vec{A}}\) ,3
b448d45c-af80-4c4b-b6a6-dd784dd9f1a9,55819564-339a-4232-ac49-7003e24ed0ca,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{A} = \\vec{A} \\times \\vec{A}\\)</p>""}]",\(\hat{A} = \vec{A} \times \vec{A}\),4
0291901a-b97b-4edf-8091-4e678d449bc6,b4607112-0e89-4392-81f9-0123353d6a5d,a,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\sqrt{A^2 + B^2 + 2AB\\cos\\theta}\\)</p>""}]",\(R = \sqrt{A^2 + B^2 + 2AB\cos\theta}\),1
a08a7e96-302c-438c-9f0f-ea385cd7861a,b4607112-0e89-4392-81f9-0123353d6a5d,b,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\sqrt{A^2 + B^2 - 2AB\\cos\\theta}\\)</p>""}]",\(R = \sqrt{A^2 + B^2 - 2AB\cos\theta}\),2
ccda7dd9-0685-4583-a8c4-3dc3e31d470e,b4607112-0e89-4392-81f9-0123353d6a5d,c,"[{""type"": ""text"", ""html"": ""<p>\\(R = A + B + 2AB\\cos\\theta\\)</p>""}]",\(R = A + B + 2AB\cos\theta\),3
757c3f7b-b269-4db3-bd37-21218da37f63,b4607112-0e89-4392-81f9-0123353d6a5d,d,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\sqrt{A^2 + B^2 + 2AB\\sin\\theta}\\)</p>""}]",\(R = \sqrt{A^2 + B^2 + 2AB\sin\theta}\),4
2f17d723-94ab-4623-84aa-465383237cb4,ca02c972-fbaf-4a23-ab04-75f1978f00e9,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\tan\\alpha = \\frac{B\\sin\\theta}{A + B\\cos\\theta}\\)</p>""}]",\(\tan\alpha = \frac{B\sin\theta}{A + B\cos\theta}\),1
9039f2cf-889f-4478-ae3e-c81daaad6f04,ca02c972-fbaf-4a23-ab04-75f1978f00e9,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\tan\\alpha = \\frac{A\\sin\\theta}{B + A\\cos\\theta}\\)</p>""}]",\(\tan\alpha = \frac{A\sin\theta}{B + A\cos\theta}\),2
d659a12b-7a56-4275-9e60-a837d4f2e283,ca02c972-fbaf-4a23-ab04-75f1978f00e9,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\tan\\alpha = \\frac{B\\cos\\theta}{A + B\\sin\\theta}\\)</p>""}]",\(\tan\alpha = \frac{B\cos\theta}{A + B\sin\theta}\),3
814f7d16-da11-4846-8dc1-19d1548c2aa3,ca02c972-fbaf-4a23-ab04-75f1978f00e9,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\tan\\alpha = \\frac{A + B\\cos\\theta}{B\\sin\\theta}\\)</p>""}]",\(\tan\alpha = \frac{A + B\cos\theta}{B\sin\theta}\),4
1883e708-8309-4f82-877e-a5dfcb6b9317,063f8b81-7876-4a80-b9a6-b7b13b6ee4e2,a,"[{""type"": ""text"", ""html"": ""<p>\\(120^\\circ\\)</p>""}]",\(120^\circ\),1
d33bdcd7-c580-466f-9b30-d66b98892ef0,063f8b81-7876-4a80-b9a6-b7b13b6ee4e2,b,"[{""type"": ""text"", ""html"": ""<p>\\(60^\\circ\\)</p>""}]",\(60^\circ\),2
e106f72e-a414-429f-a912-81c3140ceae5,063f8b81-7876-4a80-b9a6-b7b13b6ee4e2,c,"[{""type"": ""text"", ""html"": ""<p>\\(90^\\circ\\)</p>""}]",\(90^\circ\),3
965c6710-10d5-4c68-a152-162725acdc7e,063f8b81-7876-4a80-b9a6-b7b13b6ee4e2,d,"[{""type"": ""text"", ""html"": ""<p>\\(180^\\circ\\)</p>""}]",\(180^\circ\),4
3c1fba36-ad9e-4a67-b3a2-83913e3b7dd1,617bbd87-0e6c-4f59-8407-3cfa82ad58c9,a,"[{""type"": ""text"", ""html"": ""<p>A-(iv), B-(i), C-(ii), D-(iii)</p>""}]","A-(iv), B-(i), C-(ii), D-(iii)",1
b15907e2-91b5-4705-81a5-9148b8d4b6af,617bbd87-0e6c-4f59-8407-3cfa82ad58c9,b,"[{""type"": ""text"", ""html"": ""<p>A-(i), B-(ii), C-(iii), D-(iv)</p>""}]","A-(i), B-(ii), C-(iii), D-(iv)",2
d8a3d631-f488-42a2-bd09-fe9bdd5dda9b,617bbd87-0e6c-4f59-8407-3cfa82ad58c9,c,"[{""type"": ""text"", ""html"": ""<p>A-(ii), B-(iv), C-(i), D-(iii)</p>""}]","A-(ii), B-(iv), C-(i), D-(iii)",3
5f823c69-a812-4c13-83a3-3e21efe44547,617bbd87-0e6c-4f59-8407-3cfa82ad58c9,d,"[{""type"": ""text"", ""html"": ""<p>A-(iii), B-(i), C-(iv), D-(ii)</p>""}]","A-(iii), B-(i), C-(iv), D-(ii)",4
45e71bb9-f311-4987-ba6f-50e65f0ed1f4,64382c18-7e83-437d-af75-4a052ef987f8,a,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\sqrt{12^2 + 5^2} = 13 \\text{ N}\\)</p>""}]",\(R = \sqrt{12^2 + 5^2} = 13 \text{ N}\),1
a34db09c-a4c4-44e2-9547-a067f47f883c,64382c18-7e83-437d-af75-4a052ef987f8,b,"[{""type"": ""text"", ""html"": ""<p>\\(15 \\text{ N}\\)</p>""}]",\(15 \text{ N}\),2
ba0196fd-809e-459b-9a03-7a5bc5bc9c07,64382c18-7e83-437d-af75-4a052ef987f8,c,"[{""type"": ""text"", ""html"": ""<p>\\(10 \\text{ N}\\)</p>""}]",\(10 \text{ N}\),3
cf08804b-2da2-46b0-bb9e-428e0e71362b,64382c18-7e83-437d-af75-4a052ef987f8,d,"[{""type"": ""text"", ""html"": ""<p>\\(17 \\text{ N}\\)</p>""}]",\(17 \text{ N}\),4
90f1d703-b0ad-49c6-b640-e39628f35e1a,4576902c-1f9c-4a31-abe7-7f2cd7c657be,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = AB\\cos\\theta\\)</p>""}]",\(\vec{A} \cdot \vec{B} = AB\cos\theta\),1
d5b31947-ffdc-4250-a84a-87ba14d289c7,4576902c-1f9c-4a31-abe7-7f2cd7c657be,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = AB\\sin\\theta\\)</p>""}]",\(\vec{A} \cdot \vec{B} = AB\sin\theta\),2
6370c943-3b38-4c35-9151-e03a9816edd1,4576902c-1f9c-4a31-abe7-7f2cd7c657be,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = \\frac{A}{B}\\cos\\theta\\)</p>""}]",\(\vec{A} \cdot \vec{B} = \frac{A}{B}\cos\theta\),3
3def88f2-43db-44b2-8060-329e09bbb959,4576902c-1f9c-4a31-abe7-7f2cd7c657be,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = -AB\\sin\\theta\\)</p>""}]",\(\vec{A} \cdot \vec{B} = -AB\sin\theta\),4
0c5ec817-994b-44f2-a7b9-1272de6cfd88,e448e4de-12b5-4e9b-8b44-536c01311fd8,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = 0\\)</p>""}]",\(\vec{A} \cdot \vec{B} = 0\),1
3738a4b9-8bac-4093-a058-753e692d364d,e448e4de-12b5-4e9b-8b44-536c01311fd8,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = 0\\)</p>""}]",\(\vec{A} \times \vec{B} = 0\),2
4ffce61b-046d-4efc-99f1-2a9da18ca7f0,e448e4de-12b5-4e9b-8b44-536c01311fd8,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = AB\\)</p>""}]",\(\vec{A} \cdot \vec{B} = AB\),3
8302de59-537e-4cdb-b68c-9135cf480097,e448e4de-12b5-4e9b-8b44-536c01311fd8,d,"[{""type"": ""text"", ""html"": ""<p>\\(|\\vec{A}| = |\\vec{B}|\\)</p>""}]",\(|\vec{A}| = |\vec{B}|\),4
4047c635-0fe7-4857-ae9e-9b9177dac42c,3b909436-18e4-4d45-a888-3362d2262dd9,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\cdot \\hat{i} = \\hat{j} \\cdot \\hat{j} = \\hat{k} \\cdot \\hat{k} = 1\\) and \\(\\hat{i} \\cdot \\hat{j} = \\hat{j} \\cdot \\hat{k} = \\hat{k} \\cdot \\hat{i} = 0\\)</p>""}]",\(\hat{i} \cdot \hat{i} = \hat{j} \cdot \hat{j} = \hat{k} \cdot \hat{k} = 1\) and \(\hat{i} \cdot \hat{j} = \hat{j} \cdot \hat{k} = \hat{k} \cdot \hat{i} = 0\),1
09494f25-40ba-4f5d-8fa3-2178c4043e95,3b909436-18e4-4d45-a888-3362d2262dd9,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\cdot \\hat{i} = 0\\)</p>""}]",\(\hat{i} \cdot \hat{i} = 0\),2
11eabc10-8c38-473d-bfd2-01e78cdcdd56,3b909436-18e4-4d45-a888-3362d2262dd9,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\times \\hat{i} = 1\\)</p>""}]",\(\hat{i} \times \hat{i} = 1\),3
7419f28a-5986-4241-bbdc-4afb51085288,3b909436-18e4-4d45-a888-3362d2262dd9,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\cdot \\hat{j} = 1\\)</p>""}]",\(\hat{i} \cdot \hat{j} = 1\),4
de2009ea-e70f-4d6c-ac0b-4355bd43f6fe,26086182-87e3-46d8-880d-8dbfc82c7e55,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = AB\\sin\\theta \\,\\hat{n}\\)</p>""}]","\(\vec{A} \times \vec{B} = AB\sin\theta \,\hat{n}\)",1
87f216d3-b8f7-48d3-9709-6395875b7f94,26086182-87e3-46d8-880d-8dbfc82c7e55,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = AB\\cos\\theta\\)</p>""}]",\(\vec{A} \times \vec{B} = AB\cos\theta\),2
05bea33c-0bce-4575-a769-c03099d798c1,26086182-87e3-46d8-880d-8dbfc82c7e55,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = \\vec{B} \\times \\vec{A}\\)</p>""}]",\(\vec{A} \times \vec{B} = \vec{B} \times \vec{A}\),3
141ec84a-97fb-4ae4-ac79-46a0c049f9d6,26086182-87e3-46d8-880d-8dbfc82c7e55,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = 0\\) always</p>""}]",\(\vec{A} \times \vec{B} = 0\) always,4
268fcc5e-888e-4479-b7b9-a759d977aff9,5b8bc329-5f5b-416c-bc43-4f3a3d03d584,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = 0\\)</p>""}]",\(\vec{A} \times \vec{B} = 0\),1
9c62153d-653b-4d17-a727-82531f44b426,5b8bc329-5f5b-416c-bc43-4f3a3d03d584,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = 0\\)</p>""}]",\(\vec{A} \cdot \vec{B} = 0\),2
28e38f8c-b676-4972-b0ff-395237130651,5b8bc329-5f5b-416c-bc43-4f3a3d03d584,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} + \\vec{B} = 0\\)</p>""}]",\(\vec{A} + \vec{B} = 0\),3
7fb96996-456a-4f3a-a720-8605ef5d9c4e,5b8bc329-5f5b-416c-bc43-4f3a3d03d584,d,"[{""type"": ""text"", ""html"": ""<p>\\(|\\vec{A}| = |\\vec{B}|\\)</p>""}]",\(|\vec{A}| = |\vec{B}|\),4
bb661fee-dc33-4312-95bc-85da2aaa8819,83ef931a-374a-42c3-a415-aa861ec20b31,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\times \\hat{j} = \\hat{k},\\quad \\hat{j} \\times \\hat{k} = \\hat{i},\\quad \\hat{k} \\times \\hat{i} = \\hat{j}\\)</p>""}]","\(\hat{i} \times \hat{j} = \hat{k},\quad \hat{j} \times \hat{k} = \hat{i},\quad \hat{k} \times \hat{i} = \hat{j}\)",1
a78f3b03-d52e-494e-9cb3-5789aca64826,83ef931a-374a-42c3-a415-aa861ec20b31,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\times \\hat{j} = -\\hat{k}\\)</p>""}]",\(\hat{i} \times \hat{j} = -\hat{k}\),2
53826746-b733-465f-8899-3eaa9a0e3c16,83ef931a-374a-42c3-a415-aa861ec20b31,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{i} \\times \\hat{i} = 1\\)</p>""}]",\(\hat{i} \times \hat{i} = 1\),3
a27aadc6-be2c-4184-8585-f7bcdbff09c8,83ef931a-374a-42c3-a415-aa861ec20b31,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\hat{j} \\times \\hat{i} = \\hat{k}\\)</p>""}]",\(\hat{j} \times \hat{i} = \hat{k}\),4
aebe5557-8af4-48cc-a8da-4c32fa7e4746,d887e92f-10ea-4d8a-ae50-dc04bfd2a127,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = -(\\vec{B} \\times \\vec{A})\\)</p>""}]",\(\vec{A} \times \vec{B} = -(\vec{B} \times \vec{A})\),1
9451cbcb-e37f-4574-9c9a-3e53453b8f3b,d887e92f-10ea-4d8a-ae50-dc04bfd2a127,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = \\vec{B} \\times \\vec{A}\\)</p>""}]",\(\vec{A} \times \vec{B} = \vec{B} \times \vec{A}\),2
a865207a-5fa9-46c0-8e6e-d2e913d3dcb2,d887e92f-10ea-4d8a-ae50-dc04bfd2a127,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B} = -(\\vec{B} \\cdot \\vec{A})\\)</p>""}]",\(\vec{A} \cdot \vec{B} = -(\vec{B} \cdot \vec{A})\),3
b0858b98-9433-48dd-a1c6-68bdf5ba0f8b,d887e92f-10ea-4d8a-ae50-dc04bfd2a127,d,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\times \\vec{B} = 0\\)</p>""}]",\(\vec{A} \times \vec{B} = 0\),4
40d164d9-5715-4980-8700-d6fd0815bb29,54a79dcd-e74b-4f54-bf1a-da66478e0e3e,a,"[{""type"": ""text"", ""html"": ""<p>\\(|\\vec{A} \\times \\vec{B}|\\)</p>""}]",\(|\vec{A} \times \vec{B}|\),1
9854eb85-2a12-40e4-b82d-6a6a8d95a81b,54a79dcd-e74b-4f54-bf1a-da66478e0e3e,b,"[{""type"": ""text"", ""html"": ""<p>\\(\\frac{1}{2}|\\vec{A} \\times \\vec{B}|\\)</p>""}]",\(\frac{1}{2}|\vec{A} \times \vec{B}|\),2
5f9ba765-f3b4-4b0a-a7c8-e1f6a9a08638,54a79dcd-e74b-4f54-bf1a-da66478e0e3e,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B}\\)</p>""}]",\(\vec{A} \cdot \vec{B}\),3
662d87f5-e318-429e-86c6-bdd2d051ccf1,54a79dcd-e74b-4f54-bf1a-da66478e0e3e,d,"[{""type"": ""text"", ""html"": ""<p>\\(AB\\cos\\theta\\)</p>""}]",\(AB\cos\theta\),4
abe9946e-d1a4-4929-be61-ff4eef011962,bc5eb3b5-03fa-4bb5-8c27-c16fb9968fb0,a,"[{""type"": ""text"", ""html"": ""<p>\\(\\frac{1}{2}|\\vec{A} \\times \\vec{B}|\\)</p>""}]",\(\frac{1}{2}|\vec{A} \times \vec{B}|\),1
cc27a0f0-d6b8-49c9-b824-23ed8b1719df,bc5eb3b5-03fa-4bb5-8c27-c16fb9968fb0,b,"[{""type"": ""text"", ""html"": ""<p>\\(|\\vec{A} \\times \\vec{B}|\\)</p>""}]",\(|\vec{A} \times \vec{B}|\),2
b2f9cbce-1f20-47f9-83c7-ef655fa733b8,bc5eb3b5-03fa-4bb5-8c27-c16fb9968fb0,c,"[{""type"": ""text"", ""html"": ""<p>\\(\\vec{A} \\cdot \\vec{B}\\)</p>""}]",\(\vec{A} \cdot \vec{B}\),3
dadf755f-45c9-410a-aa42-46c278bce839,bc5eb3b5-03fa-4bb5-8c27-c16fb9968fb0,d,"[{""type"": ""text"", ""html"": ""<p>\\(2|\\vec{A} \\times \\vec{B}|\\)</p>""}]",\(2|\vec{A} \times \vec{B}|\),4
9808cb66-3083-4cb9-8802-ca7bf1f3ee1d,295c6811-882d-499f-bbeb-213065ed2b4d,a,"[{""type"": ""text"", ""html"": ""<p>\\(2(4) + 3(-2) + 4(3) = 8 - 6 + 12 = 14\\)</p>""}]",\(2(4) + 3(-2) + 4(3) = 8 - 6 + 12 = 14\),1
5328d53b-1d32-41ea-9139-cf553e855c2c,295c6811-882d-499f-bbeb-213065ed2b4d,b,"[{""type"": ""text"", ""html"": ""<p>\\(26\\)</p>""}]",\(26\),2
8b897f89-b1d8-4dc0-8633-69b76f313ef3,295c6811-882d-499f-bbeb-213065ed2b4d,c,"[{""type"": ""text"", ""html"": ""<p>\\(10\\)</p>""}]",\(10\),3
da25f35a-a42a-4b9f-80c8-8d782d9949fe,295c6811-882d-499f-bbeb-213065ed2b4d,d,"[{""type"": ""text"", ""html"": ""<p>\\(0\\)</p>""}]",\(0\),4
528f3b8d-1c77-4bf2-a3c0-f668f7fbd855,d42601d5-3c61-4ae3-a0e6-ed90a5e2397d,a,"[{""type"": ""text"", ""html"": ""<p>Gravity alone (ignoring air resistance)</p>""}]",Gravity alone (ignoring air resistance),1
68a4cd4f-c1df-450a-af35-b7bc83169b22,d42601d5-3c61-4ae3-a0e6-ed90a5e2397d,b,"[{""type"": ""text"", ""html"": ""<p>Friction and gravity</p>""}]",Friction and gravity,2
1d86b5a5-0d61-4b7d-8d9d-fdaf0e478959,d42601d5-3c61-4ae3-a0e6-ed90a5e2397d,c,"[{""type"": ""text"", ""html"": ""<p>Constant engine thrust</p>""}]",Constant engine thrust,3
97c82c1c-506e-4ee9-b3d3-3b405d8bb73b,d42601d5-3c61-4ae3-a0e6-ed90a5e2397d,d,"[{""type"": ""text"", ""html"": ""<p>Magnetic force</p>""}]",Magnetic force,4
cbf409bc-743b-4349-99cf-2b9bab274e1f,c3afd1dc-b2cc-4d8e-bc6d-bbb58e16467a,a,"[{""type"": ""text"", ""html"": ""<p>Parabola</p>""}]",Parabola,1
b4d21d46-898c-445d-b2cc-b5473903d46f,c3afd1dc-b2cc-4d8e-bc6d-bbb58e16467a,b,"[{""type"": ""text"", ""html"": ""<p>Straight line</p>""}]",Straight line,2
9c7c0c97-3c63-43e5-870d-095c44785c55,c3afd1dc-b2cc-4d8e-bc6d-bbb58e16467a,c,"[{""type"": ""text"", ""html"": ""<p>Circle</p>""}]",Circle,3
2c42ee62-02f5-45db-9772-11a51eb4f374,c3afd1dc-b2cc-4d8e-bc6d-bbb58e16467a,d,"[{""type"": ""text"", ""html"": ""<p>Hyperbola</p>""}]",Hyperbola,4
b9476c61-d7e9-4cb6-bfbd-2f45be80e855,4cfe4a49-39bd-4131-b6cf-001ba439ab4f,a,"[{""type"": ""text"", ""html"": ""<p>Remains constant (\\(u_x = u\\cos\\theta\\))</p>""}]",Remains constant (\(u_x = u\cos\theta\)),1
f8b2f12d-1bc5-46a8-9501-fa9a303e577c,4cfe4a49-39bd-4131-b6cf-001ba439ab4f,b,"[{""type"": ""text"", ""html"": ""<p>Increases continuously</p>""}]",Increases continuously,2
01807c63-5005-4650-af48-9c016bceb9bf,4cfe4a49-39bd-4131-b6cf-001ba439ab4f,c,"[{""type"": ""text"", ""html"": ""<p>Decreases continuously</p>""}]",Decreases continuously,3
48f4601e-fcb6-455c-a3d6-aebf53f95ef6,4cfe4a49-39bd-4131-b6cf-001ba439ab4f,d,"[{""type"": ""text"", ""html"": ""<p>Becomes zero at highest point</p>""}]",Becomes zero at highest point,4
7121ad64-d3c1-4c1d-8e3d-5f0b0a8a7302,6cb70a76-9463-4edd-a3e3-04cce0f770a1,a,"[{""type"": ""text"", ""html"": ""<p>Zero, while velocity is \\(u\\cos\\theta\\) directed horizontally</p>""}]","Zero, while velocity is \(u\cos\theta\) directed horizontally",1
9e82e86d-1e2d-4056-a8c5-c045e5729358,6cb70a76-9463-4edd-a3e3-04cce0f770a1,b,"[{""type"": ""text"", ""html"": ""<p>\\(u\\sin\\theta\\)</p>""}]",\(u\sin\theta\),2
9adfd9f5-9eb1-4b8b-b0da-0904fef6aa3c,6cb70a76-9463-4edd-a3e3-04cce0f770a1,c,"[{""type"": ""text"", ""html"": ""<p>\\(u\\)</p>""}]",\(u\),3
82a9be11-ab06-4b08-9ac3-faaade975451,6cb70a76-9463-4edd-a3e3-04cce0f770a1,d,"[{""type"": ""text"", ""html"": ""<p>Infinite</p>""}]",Infinite,4
efe2f3d8-12cf-4b0d-bc1b-b679159d61b2,ad7f3caf-a58f-4c59-a041-b481759331ac,a,"[{""type"": ""text"", ""html"": ""<p>\\(T = \\frac{2u\\sin\\theta}{g}\\)</p>""}]",\(T = \frac{2u\sin\theta}{g}\),1
847d8dec-531c-461c-b42b-a065e54cea21,ad7f3caf-a58f-4c59-a041-b481759331ac,b,"[{""type"": ""text"", ""html"": ""<p>\\(T = \\frac{u\\sin\\theta}{g}\\)</p>""}]",\(T = \frac{u\sin\theta}{g}\),2
6da4a5b5-dc27-42db-87be-4327274e8aa5,ad7f3caf-a58f-4c59-a041-b481759331ac,c,"[{""type"": ""text"", ""html"": ""<p>\\(T = \\frac{2u\\cos\\theta}{g}\\)</p>""}]",\(T = \frac{2u\cos\theta}{g}\),3
b4aef10d-e438-4a4f-acc0-8f5b0ece436c,ad7f3caf-a58f-4c59-a041-b481759331ac,d,"[{""type"": ""text"", ""html"": ""<p>\\(T = \\frac{u^2\\sin^2\\theta}{2g}\\)</p>""}]",\(T = \frac{u^2\sin^2\theta}{2g}\),4
584edb8b-449b-49c5-b7bb-8ecf70b7fecc,a90c3861-5fe5-470e-a32e-6449493600f9,a,"[{""type"": ""text"", ""html"": ""<p>\\(H = \\frac{u^2\\sin^2\\theta}{2g}\\)</p>""}]",\(H = \frac{u^2\sin^2\theta}{2g}\),1
fdde183b-6c54-4347-bdee-bd2b81349c2b,a90c3861-5fe5-470e-a32e-6449493600f9,b,"[{""type"": ""text"", ""html"": ""<p>\\(H = \\frac{u^2\\sin 2\\theta}{g}\\)</p>""}]",\(H = \frac{u^2\sin 2\theta}{g}\),2
d600641a-f5d3-4c75-b70b-bf11e9945dd2,a90c3861-5fe5-470e-a32e-6449493600f9,c,"[{""type"": ""text"", ""html"": ""<p>\\(H = \\frac{u\\sin\\theta}{2g}\\)</p>""}]",\(H = \frac{u\sin\theta}{2g}\),3
79785c98-7d41-4215-91be-ccd5f5987c04,a90c3861-5fe5-470e-a32e-6449493600f9,d,"[{""type"": ""text"", ""html"": ""<p>\\(H = \\frac{u^2\\cos^2\\theta}{2g}\\)</p>""}]",\(H = \frac{u^2\cos^2\theta}{2g}\),4
a4efba44-dc8a-4bb9-8520-c728fc2395b9,58c23604-5e1a-4117-95db-c9919079bfce,a,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\frac{u^2\\sin 2\\theta}{g}\\)</p>""}]",\(R = \frac{u^2\sin 2\theta}{g}\),1
8016ec4f-23fd-4c07-8764-dcb1812997c4,58c23604-5e1a-4117-95db-c9919079bfce,b,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\frac{u^2\\sin^2\\theta}{g}\\)</p>""}]",\(R = \frac{u^2\sin^2\theta}{g}\),2
7c4f1c95-df46-424a-b279-037d8cee3b6b,58c23604-5e1a-4117-95db-c9919079bfce,c,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\frac{2u^2\\sin\\theta}{g}\\)</p>""}]",\(R = \frac{2u^2\sin\theta}{g}\),3
812bb889-e875-4020-b1d4-fd39b092d269,58c23604-5e1a-4117-95db-c9919079bfce,d,"[{""type"": ""text"", ""html"": ""<p>\\(R = \\frac{u^2\\cos 2\\theta}{g}\\)</p>""}]",\(R = \frac{u^2\cos 2\theta}{g}\),4
